distance_km,trip_duration_s,rated_range_km,ambient_temp_c,aggressiveness_score,hard_braking_pct,hard_accel_pct,roughness_score,pothole_density_per_km,thermal_stress_index,is_extreme_heat,traffic_factor,idle_fraction,num_stops,avg_moving_speed_kmh,load_factor,load_ratio,total_mass_kg,actual_range_km,city,season,total_energy_kwh,trip_id
20.557181155091246,3818,120.0,16.7,0.62,0.0,0.0,4.46,2.09,1.33,0,2.25,0.0021,3,19.42,6.92,1.1922,506.7,104.74,bengaluru,winter,1.4035,0
18.9744774823772,3563,120.0,37.4,0.64,0.0,0.0,3.31,2.27,5.06,0,2.21,0.0022,1,19.21,6.63,1.1631,494.3,134.48,chennai,summer,1.0792,1
7.494113307657907,1400,120.0,34.7,0.59,0.0,0.0,3.65,2.14,3.8,0,2.25,0.0021,1,19.31,7.2,1.2195,518.3,114.31,chennai,summer,0.5112,2
4.790094609071623,855,120.0,35.4,0.64,0.0,0.0,5.3,2.71,4.07,0,2.1,0.0012,0,20.19,6.62,1.1616,493.7,150.37,bengaluru,summer,0.2461,3
7.806403582423591,1396,120.0,46.0,0.62,0.0,0.0,5.2,3.07,8.62,1,2.1,0.0007,0,20.15,5.07,1.0066,427.8,156.0,chennai,summer,0.3479,4
17.503075416773353,3290,120.0,27.1,0.61,0.0,0.0,4.23,2.63,1.91,0,2.21,0.0021,1,19.19,5.55,1.0548,448.3,156.0,chennai,monsoon,0.7998,5
3.6840090015299847,675,120.0,21.3,0.61,0.0,0.0,5.8,2.99,1.4,0,2.15,0.003,0,19.7,5.17,1.0174,432.4,156.0,delhi,monsoon,0.1675,6
8.846446132382233,1738,120.0,26.4,0.63,0.0,0.0,3.51,2.49,2.15,0,2.32,0.004,1,18.4,6.68,1.1685,496.6,135.14,bengaluru,monsoon,0.5022,7
3.176007233046612,602,120.0,40.8,0.63,0.0,0.0,4.77,1.57,6.8,1,2.2,0.0033,0,19.05,6.89,1.1889,505.3,108.71,delhi,summer,0.2232,8
13.007704644672302,2453,120.0,33.9,0.63,0.0,0.0,4.68,3.08,3.71,0,2.17,0.0008,0,19.1,7.6,1.2602,535.6,101.5,chennai,summer,0.9299,9
16.916733941558405,3165,120.0,23.8,0.61,0.0,0.0,4.71,3.01,2.16,0,2.2,0.0013,1,19.26,7.33,1.2332,524.1,124.57,delhi,monsoon,0.9885,10
8.346531107151534,1511,120.0,8.5,0.63,0.0,0.0,4.62,2.88,3.26,0,2.13,0.0026,0,19.94,6.84,1.1842,503.3,133.1,delhi,winter,0.4837,11
4.23828689721852,795,120.0,39.7,0.66,0.0,0.0,5.08,2.83,5.69,0,2.35,0.0075,1,19.33,6.76,1.1762,499.9,109.9,chennai,summer,0.2811,12
2.9730859112253714,595,120.0,23.1,0.6,0.0,0.0,6.17,3.7,1.23,0,2.25,0.0017,0,18.02,6.73,1.1734,498.7,151.32,bengaluru,monsoon,0.1473,13
13.064026620155659,2454,120.0,19.3,0.61,0.0,0.0,4.5,2.37,1.52,0,2.17,0.0016,0,19.2,6.01,1.1012,468.0,156.0,chennai,winter,0.6174,14
13.188539486179145,2417,120.0,27.5,0.62,0.0,0.0,4.42,1.97,2.13,0,2.13,0.0004,0,19.65,7.44,1.2435,528.5,113.1,bengaluru,monsoon,0.8525,15
5.620005818142754,1085,120.0,31.5,0.62,0.0,0.0,4.52,2.49,3.87,0,2.2,0.0009,0,18.66,7.39,1.2391,526.6,119.4,delhi,monsoon,0.3663,16
20.244130237911225,3739,120.0,45.3,0.61,0.0,0.0,4.01,2.42,8.5,1,2.14,0.0003,0,19.5,6.75,1.1751,499.4,155.09,chennai,summer,1.0194,17
5.085048449881354,1000,120.0,35.6,0.6,0.0,0.0,3.32,1.97,5.28,0,2.23,0.002,0,18.34,7.69,1.2692,539.4,125.92,chennai,monsoon,0.299,18
