cycle,ah_throughput_cumulative,q_loss_pct,soh_pct,temperature_avg,is_fast_charge,min_soc,vehicle_id,city,fast_charge_pct,avg_daily_km,driving_aggressiveness
1,36.32,1.0349990692928919,98.9650009307071,34.8,False,0.142,0,bengaluru,0.39,36.0,2.9
2,77.74000000000001,2.8126244871175055,97.1873755128825,35.4,True,0.05,0,bengaluru,0.39,36.0,2.9
3,121.89000000000001,4.525767371993268,95.47423262800673,33.6,True,0.05,0,bengaluru,0.39,36.0,2.9
4,168.76000000000002,6.165003482969658,93.83499651703035,31.7,True,0.05,0,bengaluru,0.39,36.0,2.9
5,205.33,7.306074997210902,92.6939250027891,32.6,False,0.054,0,bengaluru,0.39,36.0,2.9
6,251.11,8.576403258105563,91.42359674189444,32.2,False,0.067,0,bengaluru,0.39,36.0,2.9
7,301.96000000000004,10.369135921027597,89.63086407897241,32.8,True,0.05,0,bengaluru,0.39,36.0,2.9
8,339.25000000000006,11.463067532629761,88.53693246737024,31.3,False,0.081,0,bengaluru,0.39,36.0,2.9
9,390.72,13.39560874109667,86.60439125890333,34.5,True,0.063,0,bengaluru,0.39,36.0,2.9
10,439.79,14.976916013485893,85.02308398651411,34.7,True,0.108,0,bengaluru,0.39,36.0,2.9
11,489.6,16.32586426644915,83.67413573355086,37.1,False,0.224,0,bengaluru,0.39,36.0,2.9
12,526.12,18.079156633441556,81.92084336655844,36.8,True,0.05,0,bengaluru,0.39,36.0,2.9
13,566.19,19.35901145949011,80.6409885405099,34.2,False,0.05,0,bengaluru,0.39,36.0,2.9
14,613.5300000000001,20.7730690828542,79.22693091714581,34.4,False,0.082,0,bengaluru,0.39,36.0,2.9
15,655.2,22.305190165676805,77.6948098343232,38.2,False,0.099,0,bengaluru,0.39,36.0,2.9
16,691.2800000000001,23.43782711814447,76.56217288185553,32.6,False,0.05,0,bengaluru,0.39,36.0,2.9
17,736.5600000000001,25.38797538440972,74.61202461559029,36.5,True,0.065,0,bengaluru,0.39,36.0,2.9
18,781.45,27.260861886156288,72.73913811384371,35.6,True,0.055,0,bengaluru,0.39,36.0,2.9
19,833.73,29.210071475231707,70.7899285247683,34.5,True,0.08,0,bengaluru,0.39,36.0,2.9
20,881.77,30.997439873024714,69.00256012697528,33.5,True,0.05,0,bengaluru,0.39,36.0,2.9
21,919.35,32.23224954807449,67.76775045192551,38.8,False,0.179,0,bengaluru,0.39,36.0,2.9
22,967.48,33.688058058052526,66.31194194194748,34.9,False,0.09,0,bengaluru,0.39,36.0,2.9
23,1020.27,35.869321511033476,64.13067848896652,37.2,True,0.057,0,bengaluru,0.39,36.0,2.9
24,1060.86,37.000701199297744,62.999298800702256,35.5,False,0.11,0,bengaluru,0.39,36.0,2.9
25,1113.0,38.3043140802145,61.6956859197855,35.6,False,0.109,0,bengaluru,0.39,36.0,2.9
26,1164.9,39.750514634681345,60.249485365318655,33.7,False,0.075,0,bengaluru,0.39,36.0,2.9
27,1202.68,41.54387976496292,58.45612023503708,36.9,True,0.07,0,bengaluru,0.39,36.0,2.9
28,1251.44,43.64840567496418,56.35159432503582,37.4,True,0.075,0,bengaluru,0.39,36.0,2.9
29,1289.0800000000002,44.81844897319769,55.18155102680231,37.4,False,0.155,0,bengaluru,0.39,36.0,2.9
30,1341.0700000000002,46.23926766496758,53.76073233503242,35.0,False,0.117,0,bengaluru,0.39,36.0,2.9
31,1382.0700000000002,47.30642683213116,52.69357316786884,33.9,False,0.112,0,bengaluru,0.39,36.0,2.9
32,1434.4700000000003,49.017324332590086,50.982675667409914,37.8,False,0.057,0,bengaluru,0.39,36.0,2.9
33,1485.7200000000003,50.722916151890516,49.277083848109484,36.0,True,0.108,0,bengaluru,0.39,36.0,2.9
34,1531.9200000000003,51.8902698380253,48.1097301619747,34.5,False,0.116,0,bengaluru,0.39,36.0,2.9
35,1580.4000000000003,53.327416278989595,46.672583721010405,39.1,False,0.13,0,bengaluru,0.39,36.0,2.9
36,1631.9400000000003,54.857276726344686,45.142723273655314,35.2,False,0.06,0,bengaluru,0.39,36.0,2.9
37,1683.8900000000003,56.3911896297446,43.6088103702554,39.8,False,0.152,0,bengaluru,0.39,36.0,2.9
38,1728.2100000000003,58.341448593466765,41.658551406533235,36.8,True,0.05,0,bengaluru,0.39,36.0,2.9
39,1778.0000000000002,59.86055192026145,40.13944807973855,35.5,False,0.084,0,bengaluru,0.39,36.0,2.9
40,1823.6700000000003,61.182479289463345,38.817520710536655,37.8,False,0.114,0,bengaluru,0.39,36.0,2.9
41,1867.5100000000002,63.33693173026871,36.66306826973129,39.5,True,0.05,0,bengaluru,0.39,36.0,2.9
42,1906.2800000000002,64.99554345343074,35.00445654656926,39.2,True,0.155,0,bengaluru,0.39,36.0,2.9
43,1949.7800000000002,66.30796960355941,33.692030396440586,38.3,False,0.113,0,bengaluru,0.39,36.0,2.9
44,1986.5600000000002,68.02687611298091,31.973123887019085,36.2,True,0.05,0,bengaluru,0.39,36.0,2.9
45,2029.68,69.40826049047186,30.59173950952814,35.1,False,0.087,0,bengaluru,0.39,36.0,2.9
46,2074.6800000000003,70.99410294895031,29.005897051049686,38.0,False,0.074,0,bengaluru,0.39,36.0,2.9
47,2127.5400000000004,72.6864749383454,27.3135250616546,37.4,False,0.05,0,bengaluru,0.39,36.0,2.9
48,2180.4200000000005,73.98982295893805,26.01017704106195,35.4,False,0.102,0,bengaluru,0.39,36.0,2.9
49,2231.5600000000004,75.76206454059087,24.23793545940913,37.0,True,0.107,0,bengaluru,0.39,36.0,2.9
50,2278.8200000000006,77.50267184437918,22.49732815562082,39.7,False,0.08,0,bengaluru,0.39,36.0,2.9
51,2332.580000000001,79.33525009042285,20.664749909577154,39.2,False,0.05,0,bengaluru,0.39,36.0,2.9
52,2383.960000000001,80.69665340404742,19.303346595952576,36.9,False,0.164,0,bengaluru,0.39,36.0,2.9
53,2425.670000000001,81.97409490689438,18.02590509310562,38.2,False,0.111,0,bengaluru,0.39,36.0,2.9
54,2472.980000000001,83.60420628986932,16.395793710130675,38.0,False,0.05,0,bengaluru,0.39,36.0,2.9
55,2510.570000000001,84.88806853129864,15.111931468701357,39.8,False,0.107,0,bengaluru,0.39,36.0,2.9
56,2552.8300000000013,86.36107155651418,13.638928443485824,37.0,False,0.072,0,bengaluru,0.39,36.0,2.9
57,2601.4800000000014,87.7137539227454,12.286246077254603,37.5,False,0.141,0,bengaluru,0.39,36.0,2.9
58,2655.160000000001,89.30333506987138,10.69666493012862,35.6,False,0.05,0,bengaluru,0.39,36.0,2.9
